word,score
가능성이 늘어나다,2
가능성이 있다고,2
가능하다,2
가볍고 상쾌하다,2
가볍고 상쾌한,2
가볍고 시원하게,2
가볍고 편안하게,2
가볍고 환하게,2
가운데에서 뛰어남,2
가장 거룩한,2
가장 뛰어나,2
가장 뛰어난,2
가장 올바르게,2
가장 좋은,2
가치 있는,2
가치 있다,2
가치가 있다,2
가치를 믿다,2
가치를 인정하다,2
간드러진,2
간드러진 느낌이,2
간절하다,2
간편하거나,2
간편하다,2
감개무량하다,2
감격,2
감격성,2
감격스럽다,2
감격스레,2
감격이,2
감격적,2
감격하다,2
감격하여,2
감동,2
감동을 받아,2
감동을 일으킬,2
감동을 주거나,2
감동이,2
감동이 되는,2
감동이나,2
감동이나 고마움을,2
감동하는,2
감동하다,2
감동하여,2
감동함,2
감명되다,2
감명적,2
감명하다,2
감미롭다,2
감복하다,2
감복하여,2
감사,2
감사를 표하다,2
감사하는,2
감사하는 마음으로,2
감사하다,2
감칠맛이 있을,2
감탄,2
감탄스러울,2
감탄스러울 때,2
감탄스럽다,2
감탄적으로,2
감탄하다,2
감탄할,2
감탄할 때,2
감회가 새롭거나,2
감회에 젖음,2
값을 매길 수 없을 만큼,2
값진,2
강인한,2
강추,2
강하게 만들다,2
강하고 야무지게,2
강하고 야무지다,2
강하고 튼튼하게,2
개선,2
개선 방도를,2
개선하다,2
개선함,2
개운하게,2
개운하고,2
개운하고 시원한,2
개운하고 홀가분해지다,2
개운하다,2
개이득,2
거듭 따뜻이,2
거뜬하다,2
거룩한,2
거룩한 모습,2
거룩한 사람,2
거볍고 온화하게,2
거부감 없이,2
거슬림이 없이,2
거짓을 버리고,2
거짓이 없고,2
거짓이 없다,2
거짓이 없이,2
거침새가 없고,2
걱정 없이,2
걱정이 없고,2
건강에 좋은,2
건강하고,2
건강하고 온전하다,2
건강하고 온전한,2
건강하다,2
건강하여,2
건강하여 아름다운,2
건강한,2
건장하다,2
건장한,2
건장한 모양,2
건전하고,2
건전하고 착실한,2
건전한,2
건전함,2
건정히,2
검소한,2
것보다 낫다,2
것이 깨끗하고,2
것이 해결되어,2
게을리하지 않고,2
결함이 없이,2
겸손하고 예의,2
겸손하고 예의 바른,2
겸손하다,2
겸손한,2
경건하다,2
경사스러운,2
경사스러운 일을,2
경이로운,2
경이롭다,2
경치 좋은,2
경치가 뛰어나거나,2
경치가 맑고,2
경치가 아름다움을,2
경치가 아름답다,2
경치가 좋거나,2
경치도 좋음,2
경치를 즐기는,2
경쾌하다,2
계급을 올림,2
계급이 오름,2
계속 흥겹게,2
고결 함,2
고결한 풍채를,2
고귀한,2
고귀한 사람,2
고급,2
고급스럽다,2
고급지다,2
고르고,2
고르고 반듯하게,2
고르고 야무지다,2
고르다,2
고마운,2
고마운 마음,2
고마운 마음이,2
고마움,2
고마움을,2
고마움을 깊이,2
고마움을 나타내거나,2
고마움을 나타내는,2
고마워하다,2
고맙게,2
고맙게 베풀어,2
고맙게 여기는,2
고맙게 여기다,2
고맙게 여김,2
고맙다,2
고백,2
고분고분하게,2
고분고분하고,2
고분고분하고 온순하게,2
고분고분하고 온순하다,2
고분고분하다,2
고상하다,2
고상한,2
고상한 기질과,2
고상한 인품을,2
고상한 풍채,2
고성능,2
고요하고 아름다운,2
고운,2
고운 빛깔,2
고움,2
고치어 바로잡다,2
고품질,2
곱거나,2
곱게,2
곱게 꾸며,2
곱게 피어나는,2
곱게 피어나다,2
곱고,2
곱고 바르며,2
곱고 보드라운,2
곱고 보드랍다,2
곱고 아름답다,2
곱다,2
곱살스러우면서도,2
곱살스러우면서도 트인,2
곱살스럽게,2
곱살스레,2
곱절 용감하다,2
공경의,2
공경의 예를,2
공경하는,2
공경하는 마음으로,2
공경하다,2
공경하며,2
공경하여,2
공경하여 모시다,2
공경할,2
공경할 만하다,2
공기가 상쾌하다,2
공덕으로,2
공덕을,2
공덕을 칭송하는,2
공덕의 힘,2
공손하게,2
공손함을,2
공손함을 더하여,2
공손히,2
공손히 진찰하다,2
공익을,2
공익을 목적으로,2
공적이 많은,2
공정하다,2
공정하여,2
공정함,2
과거에 급제하여,2
관심이나 좋아하는,2
광명이,2
굉장하게,2
굉장하다,2
교리에 밝고,2
굳세거나,2
굳세게,2
굳세게 함,2
굳세고,2
굳세고 야무지다,2
굳세다,2
굳센 기상이,2
굵고 시원시원한,2
귀에 즐거움과,2
귀여운,2
귀여운 느낌이,2
귀여운 데가,2
귀여워하거나,2
귀여워하거나 즐김,2
귀여워하다,2
귀여워할,2
귀여워할 때,2
귀염성,2
귀염성스럽다,2
귀염성스레,2
귀염을,2
귀염을 받을,2
귀엽게,2
귀엽게 걷는,2
귀엽게 걷다,2
귀엽게 기울어지는,2
귀엽게 기울어지다,2
귀엽게 놀리며,2
귀엽게 떠서,2
귀엽게 여기다,2
귀엽게 움직이는,2
귀엽게 움직이다,2
귀엽게 움직이며,2
귀엽게 웃는,2
귀엽게 웃다,2
귀엽게 이르는,2
귀엽게 흔들리는,2
귀엽게 흔들리다,2
귀엽고,2
귀엽고 보드랍게,2
귀엽고 탐스러운,2
귀엽고 탐스럽다,2
귀엽고 환하게,2
귀엽다,2
귀엽도록,2
귀엽도록 보드랍고,2
귀요미,2
귀중하게,2
귀중하다,2
귀중한,2
귀중한 보배,2
귀중한 자원이라는,2
귀중히,2
귀중히 여기는,2
귀중히 여기다,2
귀하게,2
귀하고,2
귀하고 값진,2
귀하고 중요하게,2
귀하고 중요하다,2
귀하다,2
귀하며,2
귀한,2
그 감동,2
그 긍지,2
그 사랑,2
그린라이트,2
극진하게,2
극진하다,2
극진한 데가,2
근사하다,2
근심 없이,2
근심이나 걱정이 없고,2
근하다,2
긍가하다,2
긍정적으로,2
긍정적으로 강조하는,2
긍정적이고,2
긍정적이고 좋다,2
긍정적인,2
긍정적인 범위에,2
긍정적인 태도,2
긍정적인 효과를,2
긍정하는,2
긍정하는 뜻으로,2
긍정할,2
긍정할 때,2
긍정할 때에,2
긍지,2
긍지를,2
긍지를 가지는,2
긍지를 가짐,2
기대 이상으로,2
기대 이상이다,2
기대되는,2
기대할 만한,2
기둥처럼 든든히,2
기미하다,2
기분 좋은,2
기분이 좋게,2
기분이 좋다,2
기분이 좋은,2
기분이 좋을,2
기뻐,2
기뻐서,2
기뻐서 웃는,2
기뻐하고,2
기뻐하고 즐거워하다,2
기뻐하고 즐거워한다는,2
기뻐하고 즐거워함,2
기뻐하는,2
기뻐하다,2
기뻐함과,2
기뻐함과 즐거워함,2
기쁘거나,2
기쁘거나 만족스럽거나,2
기쁘거나 즐거운,2
기쁘거나 흥분하여,2
기쁘게,2
기쁘게 여기다,2
기쁘고,2
기쁘고 만족스럽다,2
기쁘다,2
기쁜,2
기쁜 마음,2
기쁜 마음으로,2
기쁜 마음을,2
기쁜 빛,2
기쁜 빛을,2
기쁜 일이,2
기쁨,2
기쁨과,2
기쁨과 즐거움,2
기쁨을,2
기쁨을 느끼는,2
기쁨을 느끼다,2
기쁨을 느끼어,2
기쁨을 담은,2
기쁨을 아는,2
기쁨을 즐기다,2
기쁨이나,2
기쁨이나 감격이,2
기상이 뛰어난,2
기세 좋게,2
기세가 좋은,2
기운차게,2
기운차게 솟구쳐,2
기운차고,2
기운차고 활기,2
기운차다,2
기특하고,2
기특하고 장하다,2
기품이 있다,2
길고 아름다워서,2
깊은 맛이,2
깊은 맛이 있게,2
깊은 은혜,2
깊은 은혜와,2
깊이 감복하여,2
깊이 기억하다,2
깊이 따르다,2
깊이 따름,2
깊이 사귐,2
깊이 사모함,2
깔끔하게,2
깔끔하다,2
깔끔한,2
깔끔한 데가,2
깔끔해지다,2
깨끗하고,2
깨끗하고 깔끔하게,2
깨끗하고 말끔하게,2
깨끗하고 매끈한,2
깨끗하고 시원스럽다,2
깨끗하고 시원하다,2
깨끗하고 시원한,2
깨끗하고 온전하다,2
깨끗하고 진실한,2
깨끗하고 칠칠한,2
깨끗하다,2
깨끗하다는,2
깨끗하며,2
깨끗하며 단아하게,2
깨끗하여,2
깨끗하여 조금도,2
깨끗한,2
깨끗한 마음,2
깨끗한 모양,2
깨끗한 사랑을,2
깨끗한 상태로,2
깨끗한 생혈,2
꼭 어울리고,2
